title,slug,link,match_title,match_year,seen
Storm Over Asia (1928),storm-over-asia,https://letterboxd.com/film/storm-over-asia/,storm over asia,1928,True
Man with a Movie Camera (1929),man-with-a-movie-camera,https://letterboxd.com/film/man-with-a-movie-camera/,man with a movie camera,1929,True
Pandora's Box (1929),pandoras-box,https://letterboxd.com/film/pandoras-box/,pandora's box,1929,True
Un Chien Andalou (1929),un-chien-andalou,https://letterboxd.com/film/un-chien-andalou/,un chien andalou,1929,True
Blackmail (1929),blackmail,https://letterboxd.com/film/blackmail/,blackmail,1929,True
A Throw of Dice (1929),a-throw-of-dice,https://letterboxd.com/film/a-throw-of-dice/,a throw of dice,1929,True
The Blue Angel (1930),the-blue-angel,https://letterboxd.com/film/the-blue-angel/,the blue angel,1930,True
Earth (1930),earth-1930,https://letterboxd.com/film/earth-1930/,earth,1930,True
All Quiet on the Western Front (1930),all-quiet-on-the-western-front,https://letterboxd.com/film/all-quiet-on-the-western-front/,all quiet on the western front,1930,True
L'Âge d'or (1930),lage-dor,https://letterboxd.com/film/lage-dor/,l'âge d'or,1930,True
Little Caesar (1931),little-caesar,https://letterboxd.com/film/little-caesar/,little caesar,1931,True
City Lights (1931),city-lights,https://letterboxd.com/film/city-lights/,city lights,1931,True
Dracula (1931),dracula,https://letterboxd.com/film/dracula/,dracula,1931,True
Tabu: A Story of the South Seas (1931),tabu-a-story-of-the-south-seas,https://letterboxd.com/film/tabu-a-story-of-the-south-seas/,tabu: a story of the south seas,1931,True
The Public Enemy (1931),the-public-enemy,https://letterboxd.com/film/the-public-enemy/,the public enemy,1931,True
M (1931),m,https://letterboxd.com/film/m/,m,1931,True
Limite (1931),limite,https://letterboxd.com/film/limite/,limite,1931,True
La Chienne (1931),la-chienne,https://letterboxd.com/film/la-chienne/,la chienne,1931,True
Frankenstein (1931),frankenstein-1931,https://letterboxd.com/film/frankenstein-1931/,frankenstein,1931,True
À Nous la Liberté (1931),a-nous-la-liberte,https://letterboxd.com/film/a-nous-la-liberte/,à nous la liberté,1931,True
Shanghai Express (1932),shanghai-express,https://letterboxd.com/film/shanghai-express/,shanghai express,1932,True
Freaks (1932),freaks,https://letterboxd.com/film/freaks/,freaks,1932,True
Scarface (1932),scarface,https://letterboxd.com/film/scarface/,scarface,1932,True
Vampyr (1932),vampyr,https://letterboxd.com/film/vampyr/,vampyr,1932,True
Love Me Tonight (1932),love-me-tonight,https://letterboxd.com/film/love-me-tonight/,love me tonight,1932,True
Trouble in Paradise (1932),trouble-in-paradise,https://letterboxd.com/film/trouble-in-paradise/,trouble in paradise,1932,True
I Am a Fugitive from a Chain Gang (1932),i-am-a-fugitive-from-a-chain-gang,https://letterboxd.com/film/i-am-a-fugitive-from-a-chain-gang/,i am a fugitive from a chain gang,1932,True
Boudu Saved from Drowning (1932),boudu-saved-from-drowning,https://letterboxd.com/film/boudu-saved-from-drowning/,boudu saved from drowning,1932,True
Me and My Gal (1932),me-and-my-gal,https://letterboxd.com/film/me-and-my-gal/,me and my gal,1932,True
The Bitter Tea of General Yen (1932),the-bitter-tea-of-general-yen,https://letterboxd.com/film/the-bitter-tea-of-general-yen/,the bitter tea of general yen,1932,True
She Done Him Wrong (1933),she-done-him-wrong,https://letterboxd.com/film/she-done-him-wrong/,she done him wrong,1933,True
42nd Street (1933),42nd-street,https://letterboxd.com/film/42nd-street/,42nd street,1933,True
King Kong (1933),king-kong,https://letterboxd.com/film/king-kong/,king kong,1933,True
Zero for Conduct (1933),zero-for-conduct-1933,https://letterboxd.com/film/zero-for-conduct-1933/,zero for conduct,1933,True
Gold Diggers of 1933 (1933),gold-diggers-of-1933,https://letterboxd.com/film/gold-diggers-of-1933/,gold diggers of 1933,1933,True
Footlight Parade (1933),footlight-parade,https://letterboxd.com/film/footlight-parade/,footlight parade,1933,True
Duck Soup (1933),duck-soup-1933,https://letterboxd.com/film/duck-soup-1933/,duck soup,1933,True
Land Without Bread (1933),land-without-bread,https://letterboxd.com/film/land-without-bread/,land without bread,1933,True
Queen Christina (1933),queen-christina,https://letterboxd.com/film/queen-christina/,queen christina,1933,True
Sons of the Desert (1933),sons-of-the-desert,https://letterboxd.com/film/sons-of-the-desert/,sons of the desert,1933,True
It Happened One Night (1934),it-happened-one-night,https://letterboxd.com/film/it-happened-one-night/,it happened one night,1934,True
L'Atalante (1934),latalante,https://letterboxd.com/film/latalante/,l'atalante,1934,True
The Black Cat (1934),the-black-cat,https://letterboxd.com/film/the-black-cat/,the black cat,1934,True
The Thin Man (1934),the-thin-man,https://letterboxd.com/film/the-thin-man/,the thin man,1934,True
Judge Priest (1934),judge-priest,https://letterboxd.com/film/judge-priest/,judge priest,1934,True
It's a Gift (1934),its-a-gift,https://letterboxd.com/film/its-a-gift/,it's a gift,1934,True
The Goddess (1934),the-goddess-1934,https://letterboxd.com/film/the-goddess-1934/,the goddess,1934,True
Triumph of the Will (1935),triumph-of-the-will,https://letterboxd.com/film/triumph-of-the-will/,triumph of the will,1935,True
Bride of Frankenstein (1935),bride-of-frankenstein,https://letterboxd.com/film/bride-of-frankenstein/,bride of frankenstein,1935,True
The 39 Steps (1935),the-39-steps,https://letterboxd.com/film/the-39-steps/,the 39 steps,1935,True
Top Hat (1935),top-hat,https://letterboxd.com/film/top-hat/,top hat,1935,True
Peter Ibbetson (1935),peter-ibbetson,https://letterboxd.com/film/peter-ibbetson/,peter ibbetson,1935,True
A Night at the Opera (1935),a-night-at-the-opera,https://letterboxd.com/film/a-night-at-the-opera/,a night at the opera,1935,True
Mutiny on the Bounty (1935),mutiny-on-the-bounty,https://letterboxd.com/film/mutiny-on-the-bounty/,mutiny on the bounty,1935,True
Captain Blood (1935),captain-blood,https://letterboxd.com/film/captain-blood/,captain blood,1935,True
Modern Times (1936),modern-times,https://letterboxd.com/film/modern-times/,modern times,1936,True
Things to Come (1936),things-to-come,https://letterboxd.com/film/things-to-come/,things to come,1936,True
Mr. Deeds Goes to Town (1936),mr-deeds-goes-to-town,https://letterboxd.com/film/mr-deeds-goes-to-town/,mr. deeds goes to town,1936,True
Swing Time (1936),swing-time,https://letterboxd.com/film/swing-time/,swing time,1936,True
My Man Godfrey (1936),my-man-godfrey,https://letterboxd.com/film/my-man-godfrey/,my man godfrey,1936,True
Dodsworth (1936),dodsworth,https://letterboxd.com/film/dodsworth/,dodsworth,1936,True
Sabotage (1936),sabotage,https://letterboxd.com/film/sabotage/,sabotage,1936,True
Song at Midnight (1937),song-at-midnight,https://letterboxd.com/film/song-at-midnight/,song at midnight,1937,True
Pépé le Moko (1937),pepe-le-moko,https://letterboxd.com/film/pepe-le-moko/,pépé le moko,1937,True
Grand Illusion (1937),grand-illusion,https://letterboxd.com/film/grand-illusion/,grand illusion,1937,True
Olympia Part One: Festival of the Nations (1938),olympia-part-one-festival-of-the-nations,https://letterboxd.com/film/olympia-part-one-festival-of-the-nations/,olympia part one: festival of the nations,1938,True
Olympia Part Two: Festival of Beauty (1938),olympia-part-two-festival-of-beauty,https://letterboxd.com/film/olympia-part-two-festival-of-beauty/,olympia part two: festival of beauty,1938,True
The Adventures of Robin Hood (1938),the-adventures-of-robin-hood,https://letterboxd.com/film/the-adventures-of-robin-hood/,the adventures of robin hood,1938,True
The Lady Vanishes (1938),the-lady-vanishes,https://letterboxd.com/film/the-lady-vanishes/,the lady vanishes,1938,True
The Baker's Wife (1938),the-bakers-wife,https://letterboxd.com/film/the-bakers-wife/,the baker's wife,1938,True
Stagecoach (1939),stagecoach,https://letterboxd.com/film/stagecoach/,stagecoach,1939,True
The Rules of the Game (1939),the-rules-of-the-game,https://letterboxd.com/film/the-rules-of-the-game/,the rules of the game,1939,True
Daybreak (1939),daybreak-1939,https://letterboxd.com/film/daybreak-1939/,daybreak,1939,True
The Wizard of Oz (1939),the-wizard-of-oz-1939,https://letterboxd.com/film/the-wizard-of-oz-1939/,the wizard of oz,1939,True
Mr. Smith Goes to Washington (1939),mr-smith-goes-to-washington,https://letterboxd.com/film/mr-smith-goes-to-washington/,mr. smith goes to washington,1939,True
Destry Rides Again (1939),destry-rides-again,https://letterboxd.com/film/destry-rides-again/,destry rides again,1939,True
Gone with the Wind (1939),gone-with-the-wind,https://letterboxd.com/film/gone-with-the-wind/,gone with the wind,1939,True
His Girl Friday (1940),his-girl-friday,https://letterboxd.com/film/his-girl-friday/,his girl friday,1940,True
Pinocchio (1940),pinocchio,https://letterboxd.com/film/pinocchio/,pinocchio,1940,True
The Grapes of Wrath (1940),the-grapes-of-wrath,https://letterboxd.com/film/the-grapes-of-wrath/,the grapes of wrath,1940,True
Rebecca (1940),rebecca,https://letterboxd.com/film/rebecca/,rebecca,1940,True
Fantasia (1940),fantasia,https://letterboxd.com/film/fantasia/,fantasia,1940,True
The Great Dictator (1940),the-great-dictator,https://letterboxd.com/film/the-great-dictator/,the great dictator,1940,True
The Philadelphia Story (1940),the-philadelphia-story,https://letterboxd.com/film/the-philadelphia-story/,the philadelphia story,1940,True
The Lady Eve (1941),the-lady-eve,https://letterboxd.com/film/the-lady-eve/,the lady eve,1941,True
Citizen Kane (1941),citizen-kane,https://letterboxd.com/film/citizen-kane/,citizen kane,1941,True
The Maltese Falcon (1941),the-maltese-falcon-1941,https://letterboxd.com/film/the-maltese-falcon-1941/,the maltese falcon,1941,True
How Green Was My Valley (1941),how-green-was-my-valley,https://letterboxd.com/film/how-green-was-my-valley/,how green was my valley,1941,True
Sullivan's Travels (1941),sullivans-travels,https://letterboxd.com/film/sullivans-travels/,sullivan's travels,1941,True
Casablanca (1942),casablanca,https://letterboxd.com/film/casablanca/,casablanca,1942,True
To Be or Not to Be (1942),to-be-or-not-to-be,https://letterboxd.com/film/to-be-or-not-to-be/,to be or not to be,1942,True
The Man in Grey (1943),the-man-in-grey,https://letterboxd.com/film/the-man-in-grey/,the man in grey,1943,True
The Seventh Victim (1943),the-seventh-victim,https://letterboxd.com/film/the-seventh-victim/,the seventh victim,1943,True
Gaslight (1944),gaslight-1944,https://letterboxd.com/film/gaslight-1944/,gaslight,1944,True
Laura (1944),laura,https://letterboxd.com/film/laura/,laura,1944,True
Meet Me in St. Louis (1944),meet-me-in-st-louis,https://letterboxd.com/film/meet-me-in-st-louis/,meet me in st. louis,1944,True
Children of Paradise (1945),children-of-paradise,https://letterboxd.com/film/children-of-paradise/,children of paradise,1945,True
Notorious (1946),notorious,https://letterboxd.com/film/notorious/,notorious,1946,True
The Big Sleep (1946),the-big-sleep,https://letterboxd.com/film/the-big-sleep/,the big sleep,1946,True
Beauty and the Beast (1946),beauty-and-the-beast,https://letterboxd.com/film/beauty-and-the-beast/,beauty and the beast,1946,True
My Darling Clementine (1946),my-darling-clementine,https://letterboxd.com/film/my-darling-clementine/,my darling clementine,1946,True
It's a Wonderful Life (1946),its-a-wonderful-life,https://letterboxd.com/film/its-a-wonderful-life/,it's a wonderful life,1946,True
Odd Man Out (1947),odd-man-out,https://letterboxd.com/film/odd-man-out/,odd man out,1947,True
Monsieur Verdoux (1947),monsieur-verdoux,https://letterboxd.com/film/monsieur-verdoux/,monsieur verdoux,1947,True
Black Narcissus (1947),black-narcissus,https://letterboxd.com/film/black-narcissus/,black narcissus,1947,True
Secret Beyond the Door (1947),secret-beyond-the-door,https://letterboxd.com/film/secret-beyond-the-door/,secret beyond the door,1947,True
The Treasure of the Sierra Madre (1948),the-treasure-of-the-sierra-madre,https://letterboxd.com/film/the-treasure-of-the-sierra-madre/,the treasure of the sierra madre,1948,True
Red River (1948),red-river,https://letterboxd.com/film/red-river/,red river,1948,True
Rope (1948),rope,https://letterboxd.com/film/rope/,rope,1948,True
The Snake Pit (1948),the-snake-pit,https://letterboxd.com/film/the-snake-pit/,the snake pit,1948,True
Bicycle Thieves (1948),bicycle-thieves,https://letterboxd.com/film/bicycle-thieves/,bicycle thieves,1948,True
Force of Evil (1948),force-of-evil,https://letterboxd.com/film/force-of-evil/,force of evil,1948,True
Kind Hearts and Coronets (1949),kind-hearts-and-coronets,https://letterboxd.com/film/kind-hearts-and-coronets/,kind hearts and coronets,1949,True
The Third Man (1949),the-third-man,https://letterboxd.com/film/the-third-man/,the third man,1949,True
Adam's Rib (1949),adams-rib,https://letterboxd.com/film/adams-rib/,adam's rib,1949,True
On the Town (1949),on-the-town,https://letterboxd.com/film/on-the-town/,on the town,1949,True
Orpheus (1950),orpheus,https://letterboxd.com/film/orpheus/,orpheus,1950,True
The Asphalt Jungle (1950),the-asphalt-jungle,https://letterboxd.com/film/the-asphalt-jungle/,the asphalt jungle,1950,True
Winchester '73 (1950),winchester-73,https://letterboxd.com/film/winchester-73/,winchester '73,1950,True
Sunset Boulevard (1950),sunset-boulevard,https://letterboxd.com/film/sunset-boulevard/,sunset boulevard,1950,True
Rashomon (1950),rashomon,https://letterboxd.com/film/rashomon/,rashomon,1950,True
All About Eve (1950),all-about-eve,https://letterboxd.com/film/all-about-eve/,all about eve,1950,True
The Young and the Damned (1950),the-young-and-the-damned,https://letterboxd.com/film/the-young-and-the-damned/,the young and the damned,1950,True
Rio Grande (1950),rio-grande,https://letterboxd.com/film/rio-grande/,rio grande,1950,True
Diary of a Country Priest (1951),diary-of-a-country-priest,https://letterboxd.com/film/diary-of-a-country-priest/,diary of a country priest,1951,True
A Place in the Sun (1951),a-place-in-the-sun,https://letterboxd.com/film/a-place-in-the-sun/,a place in the sun,1951,True
