title,slug,link
Boudu Saved from Drowning (1932),boudu-saved-from-drowning,https://letterboxd.com/film/boudu-saved-from-drowning/
Me and My Gal (1932),me-and-my-gal,https://letterboxd.com/film/me-and-my-gal/
The Bitter Tea of General Yen (1932),the-bitter-tea-of-general-yen,https://letterboxd.com/film/the-bitter-tea-of-general-yen/
She Done Him Wrong (1933),she-done-him-wrong,https://letterboxd.com/film/she-done-him-wrong/
42nd Street (1933),42nd-street,https://letterboxd.com/film/42nd-street/
King Kong (1933),king-kong,https://letterboxd.com/film/king-kong/
Zero for Conduct (1933),zero-for-conduct-1933,https://letterboxd.com/film/zero-for-conduct-1933/
Gold Diggers of 1933 (1933),gold-diggers-of-1933,https://letterboxd.com/film/gold-diggers-of-1933/
Footlight Parade (1933),footlight-parade,https://letterboxd.com/film/footlight-parade/
Duck Soup (1933),duck-soup-1933,https://letterboxd.com/film/duck-soup-1933/
Land Without Bread (1933),land-without-bread,https://letterboxd.com/film/land-without-bread/
Queen Christina (1933),queen-christina,https://letterboxd.com/film/queen-christina/
Sons of the Desert (1933),sons-of-the-desert,https://letterboxd.com/film/sons-of-the-desert/
It Happened One Night (1934),it-happened-one-night,https://letterboxd.com/film/it-happened-one-night/
L'Atalante (1934),latalante,https://letterboxd.com/film/latalante/
The Black Cat (1934),the-black-cat,https://letterboxd.com/film/the-black-cat/
The Thin Man (1934),the-thin-man,https://letterboxd.com/film/the-thin-man/
Judge Priest (1934),judge-priest,https://letterboxd.com/film/judge-priest/
It's a Gift (1934),its-a-gift,https://letterboxd.com/film/its-a-gift/
The Goddess (1934),the-goddess-1934,https://letterboxd.com/film/the-goddess-1934/
Triumph of the Will (1935),triumph-of-the-will,https://letterboxd.com/film/triumph-of-the-will/
Bride of Frankenstein (1935),bride-of-frankenstein,https://letterboxd.com/film/bride-of-frankenstein/
The 39 Steps (1935),the-39-steps,https://letterboxd.com/film/the-39-steps/
Top Hat (1935),top-hat,https://letterboxd.com/film/top-hat/
Peter Ibbetson (1935),peter-ibbetson,https://letterboxd.com/film/peter-ibbetson/
A Night at the Opera (1935),a-night-at-the-opera,https://letterboxd.com/film/a-night-at-the-opera/
