title,slug,link
Bigger Than Life (1956),bigger-than-life,https://letterboxd.com/film/bigger-than-life/
Bob le Flambeur (1956),bob-le-flambeur,https://letterboxd.com/film/bob-le-flambeur/
Written on the Wind (1956),written-on-the-wind,https://letterboxd.com/film/written-on-the-wind/
The Ten Commandments (1956),the-ten-commandments-1956,https://letterboxd.com/film/the-ten-commandments-1956/
Giant (1956),giant,https://letterboxd.com/film/giant/
Aparajito (1956),aparajito,https://letterboxd.com/film/aparajito/
A Man Escaped (1956),a-man-escaped,https://letterboxd.com/film/a-man-escaped/
The Wrong Man (1956),the-wrong-man,https://letterboxd.com/film/the-wrong-man/
Throne of Blood (1957),throne-of-blood,https://letterboxd.com/film/throne-of-blood/
Mother India (1957),mother-india,https://letterboxd.com/film/mother-india/
The Seventh Seal (1957),the-seventh-seal,https://letterboxd.com/film/the-seventh-seal/
The Incredible Shrinking Man (1957),the-incredible-shrinking-man,https://letterboxd.com/film/the-incredible-shrinking-man/
12 Angry Men (1957),12-angry-men,https://letterboxd.com/film/12-angry-men/
Gunfight at the O.K. Corral (1957),gunfight-at-the-ok-corral,https://letterboxd.com/film/gunfight-at-the-ok-corral/
Sweet Smell of Success (1957),sweet-smell-of-success,https://letterboxd.com/film/sweet-smell-of-success/
An Affair to Remember (1957),an-affair-to-remember,https://letterboxd.com/film/an-affair-to-remember/
Paths of Glory (1957),paths-of-glory,https://letterboxd.com/film/paths-of-glory/
The Bridge on the River Kwai (1957),the-bridge-on-the-river-kwai,https://letterboxd.com/film/the-bridge-on-the-river-kwai/
Nights of Cabiria (1957),nights-of-cabiria,https://letterboxd.com/film/nights-of-cabiria/
The Cranes Are Flying (1957),the-cranes-are-flying,https://letterboxd.com/film/the-cranes-are-flying/
Wild Strawberries (1957),wild-strawberries,https://letterboxd.com/film/wild-strawberries/
Touch of Evil (1958),touch-of-evil,https://letterboxd.com/film/touch-of-evil/
Gigi (1958),gigi,https://letterboxd.com/film/gigi/
Dracula (1958),dracula-1958,https://letterboxd.com/film/dracula-1958/
Mon Oncle (1958),mon-oncle,https://letterboxd.com/film/mon-oncle/
Vertigo (1958),vertigo,https://letterboxd.com/film/vertigo/
Cairo Station (1958),cairo-station,https://letterboxd.com/film/cairo-station/
The Defiant Ones (1958),the-defiant-ones,https://letterboxd.com/film/the-defiant-ones/
"Ivan the Terrible, Part II: The Boyars' Plot (1958)",ivan-the-terrible-part-ii-the-boyars-plot,https://letterboxd.com/film/ivan-the-terrible-part-ii-the-boyars-plot/
Man of the West (1958),man-of-the-west,https://letterboxd.com/film/man-of-the-west/
Ashes and Diamonds (1958),ashes-and-diamonds,https://letterboxd.com/film/ashes-and-diamonds/
The Music Room (1958),the-music-room,https://letterboxd.com/film/the-music-room/
Some Came Running (1958),some-came-running,https://letterboxd.com/film/some-came-running/
Ride Lonesome (1959),ride-lonesome,https://letterboxd.com/film/ride-lonesome/
Rio Bravo (1959),rio-bravo,https://letterboxd.com/film/rio-bravo/
Some Like It Hot (1959),some-like-it-hot,https://letterboxd.com/film/some-like-it-hot/
Apur Sansar (1959),apur-sansar,https://letterboxd.com/film/apur-sansar/
The 400 Blows (1959),the-400-blows,https://letterboxd.com/film/the-400-blows/
Hiroshima Mon Amour (1959),hiroshima-mon-amour,https://letterboxd.com/film/hiroshima-mon-amour/
Black Orpheus (1959),black-orpheus,https://letterboxd.com/film/black-orpheus/
Anatomy of a Murder (1959),anatomy-of-a-murder,https://letterboxd.com/film/anatomy-of-a-murder/
North by Northwest (1959),north-by-northwest,https://letterboxd.com/film/north-by-northwest/
Shadows (1958),shadows-1958,https://letterboxd.com/film/shadows-1958/
Floating Weeds (1959),floating-weeds,https://letterboxd.com/film/floating-weeds/
Ben-Hur (1959),ben-hur-1959,https://letterboxd.com/film/ben-hur-1959/
Pickpocket (1959),pickpocket,https://letterboxd.com/film/pickpocket/
Eyes Without a Face (1960),eyes-without-a-face,https://letterboxd.com/film/eyes-without-a-face/
La Dolce Vita (1960),la-dolce-vita,https://letterboxd.com/film/la-dolce-vita/
Breathless (1960),breathless,https://letterboxd.com/film/breathless/
Le Trou (1960),le-trou,https://letterboxd.com/film/le-trou/
Peeping Tom (1960),peeping-tom,https://letterboxd.com/film/peeping-tom/
The Cloud-Capped Star (1960),the-cloud-capped-star,https://letterboxd.com/film/the-cloud-capped-star/
L'Avventura (1960),lavventura,https://letterboxd.com/film/lavventura/
The Apartment (1960),the-apartment,https://letterboxd.com/film/the-apartment/
Psycho (1960),psycho,https://letterboxd.com/film/psycho/
Black Sunday (1960),black-sunday-1960,https://letterboxd.com/film/black-sunday-1960/
The Young One (1960),the-young-one,https://letterboxd.com/film/the-young-one/
Rocco and His Brothers (1960),rocco-and-his-brothers,https://letterboxd.com/film/rocco-and-his-brothers/
Spartacus (1960),spartacus,https://letterboxd.com/film/spartacus/
Shoot the Piano Player (1960),shoot-the-piano-player,https://letterboxd.com/film/shoot-the-piano-player/
Saturday Night and Sunday Morning (1960),saturday-night-and-sunday-morning,https://letterboxd.com/film/saturday-night-and-sunday-morning/
The Housemaid (1960),the-housemaid,https://letterboxd.com/film/the-housemaid/
La Notte (1961),la-notte,https://letterboxd.com/film/la-notte/
Lola (1961),lola,https://letterboxd.com/film/lola/
One-Eyed Jacks (1961),one-eyed-jacks,https://letterboxd.com/film/one-eyed-jacks/
Chronicle of a Summer (1961),chronicle-of-a-summer,https://letterboxd.com/film/chronicle-of-a-summer/
Viridiana (1961),viridiana,https://letterboxd.com/film/viridiana/
Last Year at Marienbad (1961),last-year-at-marienbad,https://letterboxd.com/film/last-year-at-marienbad/
Through a Glass Darkly (1961),through-a-glass-darkly,https://letterboxd.com/film/through-a-glass-darkly/
The Ladies Man (1961),the-ladies-man-1961,https://letterboxd.com/film/the-ladies-man-1961/
The Exiles (1961),the-exiles,https://letterboxd.com/film/the-exiles/
The Hustler (1961),the-hustler,https://letterboxd.com/film/the-hustler/
Breakfast at Tiffany's (1961),breakfast-at-tiffanys,https://letterboxd.com/film/breakfast-at-tiffanys/
Splendor in the Grass (1961),splendor-in-the-grass,https://letterboxd.com/film/splendor-in-the-grass/
West Side Story (1961),west-side-story,https://letterboxd.com/film/west-side-story/
Heaven and Earth Magic (1962),heaven-and-earth-magic,https://letterboxd.com/film/heaven-and-earth-magic/
Jules and Jim (1962),jules-and-jim,https://letterboxd.com/film/jules-and-jim/
La Jetée (1962),la-jetee,https://letterboxd.com/film/la-jetee/
Mondo Cane (1962),mondo-cane,https://letterboxd.com/film/mondo-cane/
Cléo from 5 to 7 (1962),cleo-from-5-to-7,https://letterboxd.com/film/cleo-from-5-to-7/
L'Eclisse (1962),leclisse,https://letterboxd.com/film/leclisse/
The Given Word (1962),the-given-word,https://letterboxd.com/film/the-given-word/
The Man Who Shot Liberty Valance (1962),the-man-who-shot-liberty-valance,https://letterboxd.com/film/the-man-who-shot-liberty-valance/
The Exterminating Angel (1962),the-exterminating-angel,https://letterboxd.com/film/the-exterminating-angel/
Lolita (1962),lolita,https://letterboxd.com/film/lolita/
Vivre Sa Vie (1962),vivre-sa-vie,https://letterboxd.com/film/vivre-sa-vie/
The Manchurian Candidate (1962),the-manchurian-candidate,https://letterboxd.com/film/the-manchurian-candidate/
What Ever Happened to Baby Jane? (1962),what-ever-happened-to-baby-jane,https://letterboxd.com/film/what-ever-happened-to-baby-jane/
An Autumn Afternoon (1962),an-autumn-afternoon,https://letterboxd.com/film/an-autumn-afternoon/
Lawrence of Arabia (1962),lawrence-of-arabia,https://letterboxd.com/film/lawrence-of-arabia/
Harakiri (1962),harakiri,https://letterboxd.com/film/harakiri/
To Kill a Mockingbird (1962),to-kill-a-mockingbird,https://letterboxd.com/film/to-kill-a-mockingbird/
The House Is Black (1963),the-house-is-black,https://letterboxd.com/film/the-house-is-black/
An Actor's Revenge (1963),an-actors-revenge,https://letterboxd.com/film/an-actors-revenge/
Winter Light (1963),winter-light,https://letterboxd.com/film/winter-light/
8½ (1963),8-half,https://letterboxd.com/film/8-half/
The Birds (1963),the-birds,https://letterboxd.com/film/the-birds/
The Leopard (1963),the-leopard,https://letterboxd.com/film/the-leopard/
Blonde Cobra (1963),blonde-cobra,https://letterboxd.com/film/blonde-cobra/
Méditerranée (1963),mediterranee,https://letterboxd.com/film/mediterranee/
Flaming Creatures (1963),flaming-creatures,https://letterboxd.com/film/flaming-creatures/
Hud (1963),hud,https://letterboxd.com/film/hud/
The Nutty Professor (1963),the-nutty-professor,https://letterboxd.com/film/the-nutty-professor/
The Great Escape (1963),the-great-escape,https://letterboxd.com/film/the-great-escape/
The Haunting (1963),the-haunting,https://letterboxd.com/film/the-haunting/
Barren Lives (1963),barren-lives,https://letterboxd.com/film/barren-lives/
The Cool World (1963),the-cool-world,https://letterboxd.com/film/the-cool-world/
The Servant (1963),the-servant,https://letterboxd.com/film/the-servant/
Shock Corridor (1963),shock-corridor,https://letterboxd.com/film/shock-corridor/
Passenger (1963),passenger,https://letterboxd.com/film/passenger/
Scorpio Rising (1963),scorpio-rising,https://letterboxd.com/film/scorpio-rising/
High and Low (1963),high-and-low,https://letterboxd.com/film/high-and-low/
Contempt (1963),contempt,https://letterboxd.com/film/contempt/
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),dr-strangelove-or-how-i-learned-to-stop-worrying-and-love-the-bomb,https://letterboxd.com/film/dr-strangelove-or-how-i-learned-to-stop-worrying-and-love-the-bomb/
The Umbrellas of Cherbourg (1964),the-umbrellas-of-cherbourg,https://letterboxd.com/film/the-umbrellas-of-cherbourg/
Woman in the Dunes (1964),woman-in-the-dunes,https://letterboxd.com/film/woman-in-the-dunes/
"Black God, White Devil (1964)",black-god-white-devil,https://letterboxd.com/film/black-god-white-devil/
Before the Revolution (1964),before-the-revolution,https://letterboxd.com/film/before-the-revolution/
The Masque of the Red Death (1964),the-masque-of-the-red-death,https://letterboxd.com/film/the-masque-of-the-red-death/
A Hard Day's Night (1964),a-hard-days-night,https://letterboxd.com/film/a-hard-days-night/
Marnie (1964),marnie,https://letterboxd.com/film/marnie/
Mary Poppins (1964),mary-poppins,https://letterboxd.com/film/mary-poppins/
The Gospel According to St. Matthew (1964),the-gospel-according-to-st-matthew,https://letterboxd.com/film/the-gospel-according-to-st-matthew/
Red Desert (1964),red-desert,https://letterboxd.com/film/red-desert/
Goldfinger (1964),goldfinger,https://letterboxd.com/film/goldfinger/
My Fair Lady (1964),my-fair-lady,https://letterboxd.com/film/my-fair-lady/
Onibaba (1964),onibaba,https://letterboxd.com/film/onibaba/
Fantomas (1964),fantomas-1964,https://letterboxd.com/film/fantomas-1964/
Le Gendarme de Saint-Tropez (1964),le-gendarme-de-saint-tropez,https://letterboxd.com/film/le-gendarme-de-saint-tropez/
Gertrud (1964),gertrud,https://letterboxd.com/film/gertrud/
The Saragossa Manuscript (1965),the-saragossa-manuscript,https://letterboxd.com/film/the-saragossa-manuscript/
Dog Star Man (1965),dog-star-man,https://letterboxd.com/film/dog-star-man/
The Sound of Music (1965),the-sound-of-music,https://letterboxd.com/film/the-sound-of-music/
Chimes at Midnight (1965),chimes-at-midnight,https://letterboxd.com/film/chimes-at-midnight/
Tokyo Olympiad (1965),tokyo-olympiad,https://letterboxd.com/film/tokyo-olympiad/
Alphaville (1965),alphaville,https://letterboxd.com/film/alphaville/
The Shop on Main Street (1965),the-shop-on-main-street,https://letterboxd.com/film/the-shop-on-main-street/
Repulsion (1965),repulsion,https://letterboxd.com/film/repulsion/
Vinyl (1965),vinyl,https://letterboxd.com/film/vinyl/
"Faster, Pussycat! Kill! Kill! (1965)",faster-pussycat-kill-kill,https://letterboxd.com/film/faster-pussycat-kill-kill/
Pierrot le Fou (1965),pierrot-le-fou,https://letterboxd.com/film/pierrot-le-fou/
Shadows of Forgotten Ancestors (1965),shadows-of-forgotten-ancestors,https://letterboxd.com/film/shadows-of-forgotten-ancestors/
The Golden Thread (1965),the-golden-thread-1965,https://letterboxd.com/film/the-golden-thread-1965/
Juliet of the Spirits (1965),juliet-of-the-spirits,https://letterboxd.com/film/juliet-of-the-spirits/
Doctor Zhivago (1965),doctor-zhivago,https://letterboxd.com/film/doctor-zhivago/
Masculin Féminin (1966),masculin-feminin,https://letterboxd.com/film/masculin-feminin/
Come Drink with Me (1966),come-drink-with-me,https://letterboxd.com/film/come-drink-with-me/
The War Game (1966),the-war-game,https://letterboxd.com/film/the-war-game/
Hold Me While I'm Naked (1966),hold-me-while-im-naked,https://letterboxd.com/film/hold-me-while-im-naked/
Seconds (1966),seconds,https://letterboxd.com/film/seconds/
Au Hasard Balthazar (1966),au-hasard-balthazar,https://letterboxd.com/film/au-hasard-balthazar/
Who's Afraid of Virginia Woolf? (1966),whos-afraid-of-virginia-woolf,https://letterboxd.com/film/whos-afraid-of-virginia-woolf/
The Battle of Algiers (1966),the-battle-of-algiers,https://letterboxd.com/film/the-battle-of-algiers/
The Man Who Had His Hair Cut Short (1966),the-man-who-had-his-hair-cut-short,https://letterboxd.com/film/the-man-who-had-his-hair-cut-short/
Persona (1966),persona,https://letterboxd.com/film/persona/
Closely Watched Trains (1966),closely-watched-trains,https://letterboxd.com/film/closely-watched-trains/
Andrei Rublev (1966),andrei-rublev,https://letterboxd.com/film/andrei-rublev/
Blow-Up (1966),blow-up,https://letterboxd.com/film/blow-up/
"The Good, the Bad and the Ugly (1966)",the-good-the-bad-and-the-ugly,https://letterboxd.com/film/the-good-the-bad-and-the-ugly/
Daisies (1966),daisies,https://letterboxd.com/film/daisies/
David Holzman's Diary (1967),david-holzmans-diary,https://letterboxd.com/film/david-holzmans-diary/
The Young Girls of Rochefort (1967),the-young-girls-of-rochefort,https://letterboxd.com/film/the-young-girls-of-rochefort/
2 or 3 Things I Know About Her (1967),2-or-3-things-i-know-about-her,https://letterboxd.com/film/2-or-3-things-i-know-about-her/
Hombre (1967),hombre,https://letterboxd.com/film/hombre/
Entranced Earth (1967),entranced-earth,https://letterboxd.com/film/entranced-earth/
Belle de Jour (1967),belle-de-jour,https://letterboxd.com/film/belle-de-jour/
Cool Hand Luke (1967),cool-hand-luke,https://letterboxd.com/film/cool-hand-luke/
Report (1967),report,https://letterboxd.com/film/report/
Bonnie and Clyde (1967),bonnie-and-clyde,https://letterboxd.com/film/bonnie-and-clyde/
In the Heat of the Night (1967),in-the-heat-of-the-night,https://letterboxd.com/film/in-the-heat-of-the-night/
Point Blank (1967),point-blank,https://letterboxd.com/film/point-blank/
The Jungle Book (1967),the-jungle-book,https://letterboxd.com/film/the-jungle-book/
Le Samouraï (1967),le-samourai,https://letterboxd.com/film/le-samourai/
The Red and the White (1967),the-red-and-the-white,https://letterboxd.com/film/the-red-and-the-white/
The Producers (1967),the-producers,https://letterboxd.com/film/the-producers/
Marketa Lazarová (1967),marketa-lazarova,https://letterboxd.com/film/marketa-lazarova/
Viy (1967),viy,https://letterboxd.com/film/viy/
The Firemen's Ball (1967),the-firemens-ball,https://letterboxd.com/film/the-firemens-ball/
PlayTime (1967),playtime,https://letterboxd.com/film/playtime/
The Graduate (1967),the-graduate,https://letterboxd.com/film/the-graduate/
Wavelength (1967),wavelength-1967,https://letterboxd.com/film/wavelength-1967/
Weekend (1967),weekend-1967,https://letterboxd.com/film/weekend-1967/
Planet of the Apes (1968),planet-of-the-apes,https://letterboxd.com/film/planet-of-the-apes/
Hour of the Wolf (1968),hour-of-the-wolf,https://letterboxd.com/film/hour-of-the-wolf/
2001: A Space Odyssey (1968),2001-a-space-odyssey,https://letterboxd.com/film/2001-a-space-odyssey/
High School (1968),high-school,https://letterboxd.com/film/high-school/
Targets (1968),targets,https://letterboxd.com/film/targets/
Memories of Underdevelopment (1968),memories-of-underdevelopment,https://letterboxd.com/film/memories-of-underdevelopment/
Rosemary's Baby (1968),rosemarys-baby,https://letterboxd.com/film/rosemarys-baby/
Shame (1968),shame,https://letterboxd.com/film/shame/
Lucía (1968),lucia,https://letterboxd.com/film/lucia/
Night of the Living Dead (1968),night-of-the-living-dead,https://letterboxd.com/film/night-of-the-living-dead/
Faces (1968),faces-1968,https://letterboxd.com/film/faces-1968/
if.... (1968),if,https://letterboxd.com/film/if/
Once Upon a Time in the West (1968),once-upon-a-time-in-the-west,https://letterboxd.com/film/once-upon-a-time-in-the-west/
The Cow (1969),the-cow-1969,https://letterboxd.com/film/the-cow-1969/
In the Year of the Pig (1969),in-the-year-of-the-pig,https://letterboxd.com/film/in-the-year-of-the-pig/
Z (1969),z,https://letterboxd.com/film/z/
Easy Rider (1969),easy-rider,https://letterboxd.com/film/easy-rider/
My Night at Maud's (1969),my-night-at-mauds,https://letterboxd.com/film/my-night-at-mauds/
Midnight Cowboy (1969),midnight-cowboy,https://letterboxd.com/film/midnight-cowboy/
The Wild Bunch (1969),the-wild-bunch,https://letterboxd.com/film/the-wild-bunch/
Satyricon (1969),satyricon-1969,https://letterboxd.com/film/satyricon-1969/
The Sorrow and the Pity (1969),the-sorrow-and-the-pity-1969,https://letterboxd.com/film/the-sorrow-and-the-pity-1969/
Butch Cassidy and the Sundance Kid (1969),butch-cassidy-and-the-sundance-kid,https://letterboxd.com/film/butch-cassidy-and-the-sundance-kid/
The Color of Pomegranates (1969),the-color-of-pomegranates,https://letterboxd.com/film/the-color-of-pomegranates/
Kes (1969),kes,https://letterboxd.com/film/kes/
The Ear (1970),the-ear,https://letterboxd.com/film/the-ear/
M*A*S*H (1970),mash,https://letterboxd.com/film/mash/
Patton (1970),patton,https://letterboxd.com/film/patton/
Zabriskie Point (1970),zabriskie-point,https://letterboxd.com/film/zabriskie-point/
The Bird with the Crystal Plumage (1970),the-bird-with-the-crystal-plumage,https://letterboxd.com/film/the-bird-with-the-crystal-plumage/
The Butcher (1970),the-butcher-1970,https://letterboxd.com/film/the-butcher-1970/
Woodstock (1970),woodstock,https://letterboxd.com/film/woodstock/
Tristana (1970),tristana,https://letterboxd.com/film/tristana/
Performance (1970),performance,https://letterboxd.com/film/performance/
Wanda (1970),wanda,https://letterboxd.com/film/wanda/
The Spider's Stratagem (1970),the-spiders-stratagem,https://letterboxd.com/film/the-spiders-stratagem/
Deep End (1970),deep-end,https://letterboxd.com/film/deep-end/
Five Easy Pieces (1970),five-easy-pieces,https://letterboxd.com/film/five-easy-pieces/
The Conformist (1970),the-conformist,https://letterboxd.com/film/the-conformist/
The Garden of the Finzi-Continis (1970),the-garden-of-the-finzi-continis,https://letterboxd.com/film/the-garden-of-the-finzi-continis/
Gimme Shelter (1970),gimme-shelter-1970,https://letterboxd.com/film/gimme-shelter-1970/
Little Big Man (1970),little-big-man,https://letterboxd.com/film/little-big-man/
How the Cossacks Played Football (1970),how-the-cossacks-played-football,https://letterboxd.com/film/how-the-cossacks-played-football/
A Touch of Zen (1970),a-touch-of-zen,https://letterboxd.com/film/a-touch-of-zen/
El Topo (1970),el-topo,https://letterboxd.com/film/el-topo/
Get Carter (1971),get-carter,https://letterboxd.com/film/get-carter/
Sweet Sweetback's Baadasssss Song (1971),sweet-sweetbacks-baadasssss-song,https://letterboxd.com/film/sweet-sweetbacks-baadasssss-song/
Murmur of the Heart (1971),murmur-of-the-heart,https://letterboxd.com/film/murmur-of-the-heart/
WR: Mysteries of the Organism (1971),wr-mysteries-of-the-organism,https://letterboxd.com/film/wr-mysteries-of-the-organism/
Klute (1971),klute,https://letterboxd.com/film/klute/
McCabe & Mrs. Miller (1971),mccabe-mrs-miller,https://letterboxd.com/film/mccabe-mrs-miller/
Shaft (1971),shaft,https://letterboxd.com/film/shaft/
Willy Wonka & the Chocolate Factory (1971),willy-wonka-the-chocolate-factory,https://letterboxd.com/film/willy-wonka-the-chocolate-factory/
The Devils (1971),the-devils,https://letterboxd.com/film/the-devils/
Walkabout (1971),walkabout,https://letterboxd.com/film/walkabout/
Two-Lane Blacktop (1971),two-lane-blacktop,https://letterboxd.com/film/two-lane-blacktop/
Wake in Fright (1971),wake-in-fright,https://letterboxd.com/film/wake-in-fright/
The Hired Hand (1971),the-hired-hand,https://letterboxd.com/film/the-hired-hand/
The Last Picture Show (1971),the-last-picture-show,https://letterboxd.com/film/the-last-picture-show/
The French Connection (1971),the-french-connection,https://letterboxd.com/film/the-french-connection/
A Clockwork Orange (1971),a-clockwork-orange,https://letterboxd.com/film/a-clockwork-orange/
Harold and Maude (1971),harold-and-maude,https://letterboxd.com/film/harold-and-maude/
Dirty Harry (1971),dirty-harry,https://letterboxd.com/film/dirty-harry/
Straw Dogs (1971),straw-dogs,https://letterboxd.com/film/straw-dogs/
Cabaret (1972),cabaret,https://letterboxd.com/film/cabaret/
Red Psalm (1972),red-psalm,https://letterboxd.com/film/red-psalm/
Pink Flamingos (1972),pink-flamingos,https://letterboxd.com/film/pink-flamingos/
The Godfather (1972),the-godfather,https://letterboxd.com/film/the-godfather/
Solaris (1972),solaris,https://letterboxd.com/film/solaris/
Frenzy (1972),frenzy,https://letterboxd.com/film/frenzy/
The Harder They Come (1972),the-harder-they-come,https://letterboxd.com/film/the-harder-they-come/
The Bitter Tears of Petra von Kant (1972),the-bitter-tears-of-petra-von-kant,https://letterboxd.com/film/the-bitter-tears-of-petra-von-kant/
Fat City (1972),fat-city,https://letterboxd.com/film/fat-city/
Deliverance (1972),deliverance,https://letterboxd.com/film/deliverance/
Super Fly (1972),super-fly,https://letterboxd.com/film/super-fly/
The Discreet Charm of the Bourgeoisie (1972),the-discreet-charm-of-the-bourgeoisie,https://letterboxd.com/film/the-discreet-charm-of-the-bourgeoisie/
Last Tango in Paris (1972),last-tango-in-paris,https://letterboxd.com/film/last-tango-in-paris/
Sleuth (1972),sleuth,https://letterboxd.com/film/sleuth/
The Heartbreak Kid (1972),the-heartbreak-kid-1972,https://letterboxd.com/film/the-heartbreak-kid-1972/
Cries and Whispers (1972),cries-and-whispers,https://letterboxd.com/film/cries-and-whispers/
The Lost Letter (1972),the-lost-letter-1972,https://letterboxd.com/film/the-lost-letter-1972/
"Aguirre, the Wrath of God (1972)",aguirre-the-wrath-of-god,https://letterboxd.com/film/aguirre-the-wrath-of-god/
Turkish Delight (1973),turkish-delight,https://letterboxd.com/film/turkish-delight/
The Long Goodbye (1973),the-long-goodbye,https://letterboxd.com/film/the-long-goodbye/
High Plains Drifter (1973),high-plains-drifter,https://letterboxd.com/film/high-plains-drifter/
The Mother and the Whore (1973),the-mother-and-the-whore,https://letterboxd.com/film/the-mother-and-the-whore/
Fantastic Planet (1973),fantastic-planet,https://letterboxd.com/film/fantastic-planet/
Day for Night (1973),day-for-night,https://letterboxd.com/film/day-for-night/
Pat Garrett & Billy the Kid (1973),pat-garrett-billy-the-kid,https://letterboxd.com/film/pat-garrett-billy-the-kid/
American Graffiti (1973),american-graffiti,https://letterboxd.com/film/american-graffiti/
Enter the Dragon (1973),enter-the-dragon,https://letterboxd.com/film/enter-the-dragon/
F for Fake (1973),f-for-fake,https://letterboxd.com/film/f-for-fake/
Mean Streets (1973),mean-streets,https://letterboxd.com/film/mean-streets/
The Spirit of the Beehive (1973),the-spirit-of-the-beehive,https://letterboxd.com/film/the-spirit-of-the-beehive/
Badlands (1973),badlands,https://letterboxd.com/film/badlands/
The Wicker Man (1973),the-wicker-man,https://letterboxd.com/film/the-wicker-man/
Don't Look Now (1973),dont-look-now,https://letterboxd.com/film/dont-look-now/
Serpico (1973),serpico,https://letterboxd.com/film/serpico/
Amarcord (1973),amarcord,https://letterboxd.com/film/amarcord/
Papillon (1973),papillon,https://letterboxd.com/film/papillon/
Sleeper (1973),sleeper,https://letterboxd.com/film/sleeper/
The Sting (1973),the-sting,https://letterboxd.com/film/the-sting/
The Exorcist (1973),the-exorcist,https://letterboxd.com/film/the-exorcist/
Blazing Saddles (1974),blazing-saddles,https://letterboxd.com/film/blazing-saddles/
Ali: Fear Eats the Soul (1974),ali-fear-eats-the-soul,https://letterboxd.com/film/ali-fear-eats-the-soul/
The Conversation (1974),the-conversation,https://letterboxd.com/film/the-conversation/
Chinatown (1974),chinatown,https://letterboxd.com/film/chinatown/
Bring Me the Head of Alfredo Garcia (1974),bring-me-the-head-of-alfredo-garcia,https://letterboxd.com/film/bring-me-the-head-of-alfredo-garcia/
Céline and Julie Go Boating (1974),celine-and-julie-go-boating,https://letterboxd.com/film/celine-and-julie-go-boating/
A Woman Under the Influence (1974),a-woman-under-the-influence,https://letterboxd.com/film/a-woman-under-the-influence/
The Texas Chain Saw Massacre (1974),the-texas-chain-saw-massacre,https://letterboxd.com/film/the-texas-chain-saw-massacre/
The Towering Inferno (1974),the-towering-inferno,https://letterboxd.com/film/the-towering-inferno/
Young Frankenstein (1974),young-frankenstein,https://letterboxd.com/film/young-frankenstein/
The Godfather Part II (1974),the-godfather-part-ii,https://letterboxd.com/film/the-godfather-part-ii/
Mirror (1975),mirror,https://letterboxd.com/film/mirror/
Monty Python and the Holy Grail (1975),monty-python-and-the-holy-grail,https://letterboxd.com/film/monty-python-and-the-holy-grail/
"Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles (1975)",jeanne-dielman-23-quai-du-commerce-1080-bruxelles,https://letterboxd.com/film/jeanne-dielman-23-quai-du-commerce-1080-bruxelles/
India Song (1975),india-song,https://letterboxd.com/film/india-song/
Fox and His Friends (1975),fox-and-his-friends,https://letterboxd.com/film/fox-and-his-friends/
Nashville (1975),nashville,https://letterboxd.com/film/nashville/
Jaws (1975),jaws,https://letterboxd.com/film/jaws/
Deewaar (1975),deewaar,https://letterboxd.com/film/deewaar/
Dersu Uzala (1975),dersu-uzala,https://letterboxd.com/film/dersu-uzala/
The Travelling Players (1975),the-travelling-players,https://letterboxd.com/film/the-travelling-players/
Manila in the Claws of Light (1975),manila-in-the-claws-of-light,https://letterboxd.com/film/manila-in-the-claws-of-light/
Picnic at Hanging Rock (1975),picnic-at-hanging-rock,https://letterboxd.com/film/picnic-at-hanging-rock/
Dog Day Afternoon (1975),dog-day-afternoon,https://letterboxd.com/film/dog-day-afternoon/
The Rocky Horror Picture Show (1975),the-rocky-horror-picture-show,https://letterboxd.com/film/the-rocky-horror-picture-show/
One Flew Over the Cuckoo's Nest (1975),one-flew-over-the-cuckoos-nest,https://letterboxd.com/film/one-flew-over-the-cuckoos-nest/
"Salò, or the 120 Days of Sodom (1975)",salo-or-the-120-days-of-sodom,https://letterboxd.com/film/salo-or-the-120-days-of-sodom/
Barry Lyndon (1975),barry-lyndon,https://letterboxd.com/film/barry-lyndon/
Cria! (1976),cria,https://letterboxd.com/film/cria/
Taxi Driver (1976),taxi-driver,https://letterboxd.com/film/taxi-driver/
The Killing of a Chinese Bookie (1976),the-killing-of-a-chinese-bookie,https://letterboxd.com/film/the-killing-of-a-chinese-bookie/
The Man Who Fell to Earth (1976),the-man-who-fell-to-earth,https://letterboxd.com/film/the-man-who-fell-to-earth/
All the President's Men (1976),all-the-presidents-men,https://letterboxd.com/film/all-the-presidents-men/
In the Realm of the Senses (1976),in-the-realm-of-the-senses,https://letterboxd.com/film/in-the-realm-of-the-senses/
1900 (1976),1900,https://letterboxd.com/film/1900/
The Outlaw Josey Wales (1976),the-outlaw-josey-wales,https://letterboxd.com/film/the-outlaw-josey-wales/
Network (1976),network,https://letterboxd.com/film/network/
Carrie (1976),carrie-1976,https://letterboxd.com/film/carrie-1976/
Rocky (1976),rocky,https://letterboxd.com/film/rocky/
The Last Wave (1977),the-last-wave,https://letterboxd.com/film/the-last-wave/
Stroszek (1977),stroszek,https://letterboxd.com/film/stroszek/
Suspiria (1977),suspiria,https://letterboxd.com/film/suspiria/
Man of Marble (1977),man-of-marble,https://letterboxd.com/film/man-of-marble/
Eraserhead (1977),eraserhead,https://letterboxd.com/film/eraserhead/
The Ascent (1977),the-ascent,https://letterboxd.com/film/the-ascent/
Annie Hall (1977),annie-hall,https://letterboxd.com/film/annie-hall/
